"b""@burnaboy You've said it all. #saynotoxenophobia"""
"b""RT @xtiandela: Just incase you haven't seen this video. \n\nJulius Malema has spoken my mind. No need to add anything more. \n#StopXenophobia!\xe2\x80\xa6"""
"b""RT @xtiandela: Just incase you haven't seen this video. \n\nJulius Malema has spoken my mind. No need to add anything more. \n#StopXenophobia!\xe2\x80\xa6"""
b'RT @GuardianNigeria: Burna Boy has announced he will contribute a portion of the proceeds from the concert to the victims of xenophobic att\xe2\x80\xa6'
b'The truth is nobody really wins when two brothers are at war. South Africa \xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 Nigeria \xf0\x9f\x87\xb3\xf0\x9f\x87\xac We are one.  @akaworldwide\xe2\x80\xa6 https://t.co/CPzc43kut8'
"b'RT @ahizecd: This is the best video I\xe2\x80\x99ve seen all day.\nNot every Nigerian is a drug dealer, \nNot every Zimbabwean is a car jacker,\nNot ever\xe2\x80\xa6'"
b'RT @MTVBaseAfrica: A manifesto and a call to #StopTheViolence #SayNoToXenophobia #StopXenophobia #OneAfricaIsPossible https://t.co/vzGMvYON\xe2\x80\xa6'
"b""RT @xtiandela: Just incase you haven't seen this video. \n\nJulius Malema has spoken my mind. No need to add anything more. \n#StopXenophobia!\xe2\x80\xa6"""
b'Gods grace is sufficient \n\n                                          Weekend hustles \n\n#millionairemindset\xe2\x80\xa6 https://t.co/TRt5RgB9Fk'
"b""RT @musty_mustaphar: If you don't feel, then you're numb in a dumb way. #SayNoToXenophobiaAttacks #saynotoxenophobia #xenophobiainsouthafri\xe2\x80\xa6"""
b'RT @collinsken_0293: #SAShutdown #SayNoToXenophobia #XenophobicAttack  I think SA only found our that Nigeria don\xe2\x80\x99t have a PRESIDENT jxt a\xe2\x80\xa6'
b'RT @iam_kcee: The Nigerian government must show strenght at this time and the South African government must be held accountable for this me\xe2\x80\xa6'
b'RT @RapstarsSa: Link on bio for full video\n#stoptheviolence\n#stoptheviolenceagainstwomen\n#SayNoToXenophobia\n#WeRememberThem \n#UyineneMrwety\xe2\x80\xa6'
